time,number_of_points,number_of_buckets,range_of_numbers,number_of_threads
0.844484,1000000,100,100,1
1.25261,1000000,100,100,2
0.965209,1000000,100,100,3
0.691372,1000000,100,100,4
0.699504,1000000,100,100,5
0.91326,1000000,100,100,6
0.680795,1000000,100,100,7
0.606213,1000000,100,100,8
0.802466,1000000,100,1000,1
1.29156,1000000,100,1000,2
0.884696,1000000,100,1000,3
0.649256,1000000,100,1000,4
0.723195,1000000,100,1000,5
0.81323,1000000,100,1000,6
0.644795,1000000,100,1000,7
0.85079,1000000,100,1000,8
0.777826,1000000,100,10000,1
1.30014,1000000,100,10000,2
0.963943,1000000,100,10000,3
0.643882,1000000,100,10000,4
0.91142,1000000,100,10000,5
0.894906,1000000,100,10000,6
0.883734,1000000,100,10000,7
0.632979,1000000,100,10000,8
1.09019,1000000,1000,100,1
2.09869,1000000,1000,100,2
2.18665,1000000,1000,100,3
2.23174,1000000,1000,100,4
2.43601,1000000,1000,100,5
2.8607,1000000,1000,100,6
2.77228,1000000,1000,100,7
3.1113,1000000,1000,100,8
0.660625,1000000,1000,1000,1
1.269,1000000,1000,1000,2
0.771154,1000000,1000,1000,3
0.603705,1000000,1000,1000,4
0.659258,1000000,1000,1000,5
0.820721,1000000,1000,1000,6
0.556577,1000000,1000,1000,7
0.527877,1000000,1000,1000,8
0.678114,1000000,1000,10000,1
0.956544,1000000,1000,10000,2
0.884279,1000000,1000,10000,3
0.633379,1000000,1000,10000,4
0.65476,1000000,1000,10000,5
0.742331,1000000,1000,10000,6
0.564186,1000000,1000,10000,7
0.760946,1000000,1000,10000,8
1.09188,1000000,10000,100,1
2.10625,1000000,10000,100,2
2.19704,1000000,10000,100,3
2.24992,1000000,10000,100,4
2.33931,1000000,10000,100,5
2.80727,1000000,10000,100,6
3.01219,1000000,10000,100,7
3.219,1000000,10000,100,8
1.06656,1000000,10000,1000,1
1.36522,1000000,10000,1000,2
2.12015,1000000,10000,1000,3
2.23511,1000000,10000,1000,4
2.48153,1000000,10000,1000,5
2.7626,1000000,10000,1000,6
2.91327,1000000,10000,1000,7
3.15547,1000000,10000,1000,8
0.660179,1000000,10000,10000,1
0.752855,1000000,10000,10000,2
0.78075,1000000,10000,10000,3
0.645038,1000000,10000,10000,4
0.64183,1000000,10000,10000,5
0.834075,1000000,10000,10000,6
0.815262,1000000,10000,10000,7
0.716117,1000000,10000,10000,8
9.91073,10000000,100,100,1
14.0514,10000000,100,100,2
8.89786,10000000,100,100,3
7.69401,10000000,100,100,4
7.49022,10000000,100,100,5
9.33616,10000000,100,100,6
9.18228,10000000,100,100,7
6.47579,10000000,100,100,8
9.58094,10000000,100,1000,1
13.3624,10000000,100,1000,2
10.0064,10000000,100,1000,3
7.09081,10000000,100,1000,4
7.64105,10000000,100,1000,5
9.49868,10000000,100,1000,6
6.81761,10000000,100,1000,7
8.4976,10000000,100,1000,8
9.4143,10000000,100,10000,1
11.876,10000000,100,10000,2
9.33283,10000000,100,10000,3
7.20774,10000000,100,10000,4
9.24011,10000000,100,10000,5
8.34376,10000000,100,10000,6
8.94183,10000000,100,10000,7
6.26846,10000000,100,10000,8
12.7503,10000000,1000,100,1
18.7856,10000000,1000,100,2
24.1636,10000000,1000,100,3
24.3706,10000000,1000,100,4
27.1722,10000000,1000,100,5
29.4313,10000000,1000,100,6
31.7481,10000000,1000,100,7
31.4667,10000000,1000,100,8
8.82386,10000000,1000,1000,1
13.0721,10000000,1000,1000,2
9.61366,10000000,1000,1000,3
7.09452,10000000,1000,1000,4
6.85946,10000000,1000,1000,5
7.83368,10000000,1000,1000,6
8.27552,10000000,1000,1000,7
5.44201,10000000,1000,1000,8
8.36191,10000000,1000,10000,1
8.36009,10000000,1000,10000,2
9.54619,10000000,1000,10000,3
10.0744,10000000,1000,10000,4
6.93835,10000000,1000,10000,5
8.33768,10000000,1000,10000,6
5.95427,10000000,1000,10000,7
7.89348,10000000,1000,10000,8
12.6206,10000000,10000,100,1
20.9581,10000000,10000,100,2
22.4223,10000000,10000,100,3
24.1618,10000000,10000,100,4
27.2174,10000000,10000,100,5
31.1186,10000000,10000,100,6
32.9195,10000000,10000,100,7
32.5412,10000000,10000,100,8
12.3541,10000000,10000,1000,1
22.5579,10000000,10000,1000,2
21.7029,10000000,10000,1000,3
22.9401,10000000,10000,1000,4
26.5593,10000000,10000,1000,5
30.7911,10000000,10000,1000,6
30.3036,10000000,10000,1000,7
34.8306,10000000,10000,1000,8
7.74371,10000000,10000,10000,1
10.0568,10000000,10000,10000,2
8.99576,10000000,10000,10000,3
6.17016,10000000,10000,10000,4
6.51477,10000000,10000,10000,5
8.39434,10000000,10000,10000,6
7.96197,10000000,10000,10000,7
5.09426,10000000,10000,10000,8
